캠페인 이름,캠페인 ID,기간,캠페인 목적,캠페인 예산,결과,결과 유형,결과당 비용,결과당 비용 유형,총비용,시작일,종료일,노출수,평균 CPM,클릭수,평균 CPC,클릭률(%),총 재생수,평균 CPV,재생률(%),자동 재생수,클릭 재생수,25% 재생수,50% 재생수,75% 재생수,100% 재생수,총 전환수,앱 설치 수,앱 내 구매완료 수,위시리스트 추가 수,구매완료 수,회원가입 수,장바구니 담기 수,신청완료 수,소식받기/구독 수,예약완료 수,컨텐츠보기 수,앱 레벨달성 수,앱 튜토리얼완료 수,사용자정의 #1 수,사용자정의 #2 수,사용자정의 #3 수,사용자정의 #4 수,사용자정의 #5 수,사용자정의 #6 수,사용자정의 #7 수,사용자정의 #8 수,사용자정의 #9 수,사용자정의 #10 수,총 전환매출액,구매완료 전환매출액,회원가입 전환매출액,장바구니 전환매출액,신청완료 전환매출액,앱 설치 전환매출액,앱 내 구매완료 전환매출액,위시리스트 추가 전환매출액,소식받기/구독 전환매출액,예약완료 전환매출액,컨텐츠보기 전환매출액,앱 레벨달성 전환매출액,앱 튜토리얼완료 전환매출액,사용자정의 #1 전환매출액,사용자정의 #2 전환매출액,사용자정의 #3 전환매출액,사용자정의 #4 전환매출액,사용자정의 #5 전환매출액,사용자정의 #6 전환매출액,사용자정의 #7 전환매출액,사용자정의 #8 전환매출액,사용자정의 #9 전환매출액,사용자정의 #10 전환매출액,총 전환율(%),총 전환당비용,총 광고수익률(%),구매완료 광고수익률(%)
ODP_ADVoost_26년_상시운영,1245370,2026.07.06.,ADVoost 쇼핑,110000.000,9,전환,0,전환당,0,2026.02.11.,2026.07.05.,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,9,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424090,115090,0,309000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0.00
ODP_ADVoost_26년_상시운영,1245370,2026.07.05.,ADVoost 쇼핑,110000.000,100,전환,1102,전환당,110217,2026.02.11.,2026.07.05.,13210,8343,120,918,0.91,0,0,0.00,0,0,0,0,0,0,100,0,0,0,16,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7738960,589260,0,7149700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33,1102,7021.59,534.64
ODP_ADVoost_26년_상시운영,1245370,2026.07.04.,ADVoost 쇼핑,110000.000,30,전환,3662,전환당,109856,2026.02.11.,2026.07.05.,12289,8939,134,820,1.09,0,0,0.00,0,0,0,0,0,0,30,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1803950,68950,0,1735000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.39,3662,1642.10,62.76
ODP_ADVoost_26년_상시운영,1245370,2026.07.03.,ADVoost 쇼핑,110000.000,36,전환,3035,전환당,109267,2026.02.11.,2026.07.05.,11780,9276,102,1071,0.87,0,0,0.00,0,0,0,0,0,0,36,0,0,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2071630,80630,0,1991000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.29,3035,1895.93,73.79
ODP_ADVoost_26년_상시운영,1245370,2026.07.02.,ADVoost 쇼핑,110000.000,62,전환,1796,전환당,111336,2026.02.11.,2026.07.05.,17750,6272,148,752,0.83,0,0,0.00,0,0,0,0,0,0,62,0,0,0,13,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3388050,584050,0,2804000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.89,1796,3043.08,524.58
ODP_ADVoost_26년_상시운영,1245370,2026.07.01.,ADVoost 쇼핑,110000.000,78,전환,1471,전환당,114737,2026.02.11.,2026.07.05.,18124,6331,160,717,0.88,0,0,0.00,0,0,0,0,0,0,78,0,0,0,13,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4289320,501320,0,3788000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.75,1471,3738.39,436.93
ODP_ADVoost_26년_상시운영,1245370,2026.06.30.,ADVoost 쇼핑,110000.000,40,전환,2760,전환당,110387,2026.02.11.,2026.07.05.,15892,6946,151,731,0.95,0,0,0.00,0,0,0,0,0,0,40,0,0,0,6,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2468290,160290,0,2308000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.49,2760,2236.04,145.21
ODP_ADVoost_26년_상시운영,1245370,2026.06.29.,ADVoost 쇼핑,110000.000,105,전환,1066,전환당,111929,2026.02.11.,2026.07.05.,16211,6905,149,751,0.92,0,0,0.00,0,0,0,0,0,0,105,0,0,0,21,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6286960,853960,0,5433000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.47,1066,5616.91,762.95
ODP_ADVoost_26년_상시운영,1245370,2026.06.28.,ADVoost 쇼핑,110000.000,46,전환,2389,전환당,109890,2026.02.11.,2026.07.05.,15958,6886,148,742,0.93,0,0,0.00,0,0,0,0,0,0,46,0,0,0,6,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2850100,215100,0,2635000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.08,2389,2593.60,195.74
ODP_ADVoost_26년_상시운영,1245370,2026.06.27.,ADVoost 쇼핑,110000.000,40,전환,2918,전환당,116719,2026.02.11.,2026.07.05.,14676,7953,133,878,0.91,0,0,0.00,0,0,0,0,0,0,40,0,0,0,4,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2180800,171800,0,2009000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.08,2918,1868.42,147.19
